Company,CompanyURI,Model,Type,Type_URI,Screen_Size_Inches,Screen_Resolution_Pixels,CPU,CPU_URI,CPU_Speed_GHz,RAM_Size_GB,Storage,GPU,GPU_URI,Operating_System,Operating_System_URI,Weight_KG,Price_EUR
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,2560x1600,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.3,8,128GB SSD,Intel Iris Plus Graphics 640,https://www.wikidata.org/entity/Q98611892,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.37,1339.69
Apple,https://www.wikidata.org/entity/Q312,Macbook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.8,8,128GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.34,898.94
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,575
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.4,2880x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,16,512GB SSD,Radeon Pro,https://www.wikidata.org/entity/Q28402491,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.83,2537.45
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,3,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,400
Apple,https://www.wikidata.org/entity/Q312,Macbook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.8,8,256GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.34,1158.7
ASUS,https://www.wikidata.org/entity/Q152864,ZenBook UX430UN,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.3,1495
Acer,https://www.wikidata.org/entity/Q481778,Swift 3,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.6,770
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,500GB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,393.9
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,500GB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,344.99
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.4,2880x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD,Radeon Pro,https://www.wikidata.org/entity/Q28402491,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.83,2439.97
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,498.9
Apple,https://www.wikidata.org/entity/Q312,MacBook,Ultrabook,https://www.wikidata.org/entity/Q2477770,12,2304x1440,Intel Core m3-7Y30,https://www.wikidata.org/entity/Q98611686,1.2,8,256GB SSD,Intel HD Graphics 615,https://www.wikidata.org/entity/Q98609804,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,0.92,1262.4
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,2560x1600,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.3,8,256GB SSD,Intel Iris Plus Graphics 640,https://www.wikidata.org/entity/Q98611892,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.37,1518.55
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,745
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.4,2880x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.9,16,512GB SSD,Radeon Pro,https://www.wikidata.org/entity/Q28402491,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.83,2858
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15IKB,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,8,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,499
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,128GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.22,979
ASUS,https://www.wikidata.org/entity/Q152864,Vivobook E200HA,netbook,https://www.wikidata.org/entity/Q178470,11.6,1366x768,Intel Atom,https://www.wikidata.org/entity/Q324536,1.44,2,32GB Flash Storage,Intel HD Graphics 4000,https://www.wikidata.org/entity/Q98617382,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,0.98,191.9
Lenovo,https://www.wikidata.org/entity/Q14799,Legion Y520-15IKBN,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,128GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,999
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,255 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,1.5,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,258
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5379,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.62,819
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-BS101nv,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.91,659
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.3,418.64
Apple,https://www.wikidata.org/entity/Q312,MacBook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,128GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS X,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_X_,1.35,1099
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5570,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,800
Dell Inc.,https://www.wikidata.org/entity/Q30873,Latitude 5590,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.9,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.88,1298
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,896
CHUWI Company,https://www.wikidata.org/entity/Q50413464,LapBook,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Atom,https://www.wikidata.org/entity/Q324536,1.44,4,64GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.89,244.99
ASUS,https://www.wikidata.org/entity/Q152864,E402WA-GA010T,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,1.5,2,32GB Flash Storage,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.65,199
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,17-ak001nv,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,2.5,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.71,439
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,3200x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.2,1869
Apple,https://www.wikidata.org/entity/Q312,MacBook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS X,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_X_,1.35,998
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 120S-14IAP,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.1,4,64GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.44,249
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2.7,4,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.1,367
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5770,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,128GB SSD +  1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,979
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.86,488.69
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 450,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,879
ASUS,https://www.wikidata.org/entity/Q152864,X540UA-DM186,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2,389
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.65,1499
ASUS,https://www.wikidata.org/entity/Q152864,X542UQ-GO005,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.3,522.99
Acer,https://www.wikidata.org/entity/Q481778,Aspire A515-51G,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,4,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,682
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7773,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,12,1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.77,999
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,2560x1600,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2,8,256GB SSD,Intel Iris Graphics 540,,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.37,1419
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15ISK,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,128GB SSD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,369
ASUS,https://www.wikidata.org/entity/Q152864,Rog Strix,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Ryzen,https://www.wikidata.org/entity/Q28845729,3,8,256GB SSD +  1TB HDD,AMD Radeon RX 500 series,https://www.wikidata.org/entity/Q29652955,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3.2,1299
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.3,639
ASUS,https://www.wikidata.org/entity/Q152864,X751NV-TY001T,laptop,https://www.wikidata.org/entity/Q3962,17.3,1366x768,Pentium,https://www.wikidata.org/entity/Q214314,1.1,4,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,466
Lenovo,https://www.wikidata.org/entity/Q14799,Yoga Book,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,10.1,1920x1200,Intel Atom,https://www.wikidata.org/entity/Q324536,1.44,4,64GB Flash Storage,Intel HD Graphics 4000,https://www.wikidata.org/entity/Q98617382,Android,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Android_,0.69,319
Acer,https://www.wikidata.org/entity/Q481778,Aspire A515-51G,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,841
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,255 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,2.5,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.86,398.49
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 430,laptop,https://www.wikidata.org/entity/Q3962,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.49,1103
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,4,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.4,384
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3576,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.13,767.8
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-bs002nv,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,128GB SSD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.91,439
ASUS,https://www.wikidata.org/entity/Q152864,VivoBook Max,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,586.19
Micro-Star International,https://www.wikidata.org/entity/Q502935,GS73VR 7RG,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  2TB HDD,GTX 1070,https://www.wikidata.org/entity/Q61782186,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.43,2449
ASUS,https://www.wikidata.org/entity/Q152864,X541UA-DM1897,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,256GB SSD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2,415
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5770,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,256GB SSD +  2TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,1299
Dell Inc.,https://www.wikidata.org/entity/Q30873,Vostro 5471,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.7,879
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 520S-14IKB,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.7,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.7,599
ASUS,https://www.wikidata.org/entity/Q152864,UX410UA-GV350T,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.4,941
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.86,690
ASUS,https://www.wikidata.org/entity/Q152864,ZenBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,512GB SSD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.8,1983
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.86,438.69
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Stream 14-AX040wm,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.6,4,32GB SSD,Intel HD Graphics 4000,https://www.wikidata.org/entity/Q98617382,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.44,229
