Company,CompanyURI,Model,Type,Type_URI,Screen_Size_Inches,Screen_Resolution_Pixels,CPU,CPU_URI,CPU_Speed_GHz,RAM_Size_GB,Storage,GPU,GPU_URI,Operating_System,Operating_System_URI,Weight_KG,Price_EUR
Lenovo,https://www.wikidata.org/entity/Q14799,V310-15ISK,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.9,549
ASUS,https://www.wikidata.org/entity/Q152864,FX753VE-GC093,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,12,1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,3,949
Microsoft,https://www.wikidata.org/entity/Q2283,Surface Laptop,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.5,2256x1504,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,128GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10 S,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_S_,1.252,1089
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5370,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.4,955
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5570,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,870
Micro-Star International,https://www.wikidata.org/entity/Q502935,GL72M 7RDX,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,128GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.7,1095
Acer,https://www.wikidata.org/entity/Q481778,Aspire E5-475,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,8,1TB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,389
ASUS,https://www.wikidata.org/entity/Q152864,FX503VD-E4022T,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,8,1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,949
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15IKBN,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,2TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,519
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5570,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.02,855
Acer,https://www.wikidata.org/entity/Q481778,Aspire A515-51G-32MX,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.7,4,1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,530
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,128GB SSD +  1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,977
Dell Inc.,https://www.wikidata.org/entity/Q30873,Latitude 5590,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.88,1096.16
Apple,https://www.wikidata.org/entity/Q312,MacBook,Ultrabook,https://www.wikidata.org/entity/Q2477770,12,2304x1440,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.3,8,512GB SSD,Intel HD Graphics 615,https://www.wikidata.org/entity/Q98609804,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,0.92,1510
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 440,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.63,860
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15AST,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,2.5,4,128GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,399
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,3,4,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,395
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,128GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.65,1349
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Pavilion 15-CK000nv,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.83,699
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.96,598.99
ASUS,https://www.wikidata.org/entity/Q152864,FX503VM-E4007T,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,128GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,1449
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.21,1649
ASUS,https://www.wikidata.org/entity/Q152864,FX550IK-DM018T,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,AMD FX,https://www.wikidata.org/entity/Q13055354,3,8,1TB HDD,AMD Radeon RX 500 series,https://www.wikidata.org/entity/Q29652955,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.45,699
Acer,https://www.wikidata.org/entity/Q481778,Aspire 5,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,689
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 430,laptop,https://www.wikidata.org/entity/Q3962,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.49,1197
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.65,1195
ASUS,https://www.wikidata.org/entity/Q152864,Zenbook UX430UA,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.25,1049
Acer,https://www.wikidata.org/entity/Q481778,Spin 5,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.5,847
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.2,599.9
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.2,485
ASUS,https://www.wikidata.org/entity/Q152864,X541UV-DM1439T,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,6,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,577
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Omen 15-ce007nv,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,12,128GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.62,1249
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-bs017nv,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.91,719
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-bw000nv,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,1.5,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,349
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3576,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.2,647
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Envy 13-ad009n,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.38,1119
Microsoft,https://www.wikidata.org/entity/Q2283,Surface Laptop,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.5,2256x1504,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10 S,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_S_,1.252,1340
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Pavilion 14-BK001nv,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,6,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.58,659
Lenovo,https://www.wikidata.org/entity/Q14799,Ideapad 310-15ISK,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.85,414.9
ASUS,https://www.wikidata.org/entity/Q152864,UX430UQ-GV209R,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.3,1193
Micro-Star International,https://www.wikidata.org/entity/Q502935,GP62M 7REX,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,1299
Lenovo,https://www.wikidata.org/entity/Q14799,Thinkpad T470,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.58,1480
ASUS,https://www.wikidata.org/entity/Q152864,VivoBook S15,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,256GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.5,1262
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,3200x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.4,8,256GB SSD,Intel Iris Plus Graphics 640,https://www.wikidata.org/entity/Q98611892,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.23,1379
Lenovo,https://www.wikidata.org/entity/Q14799,ThinkPad Yoga,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.37,1399
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 440,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,4,500GB HDD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.63,722
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.21,1629
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Spectre x360,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.26,1398.99
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 440,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.63,1084
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7570,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD +  1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.16,1130.33
ASUS,https://www.wikidata.org/entity/Q152864,X705UV-BX074T,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,564
ASUS,https://www.wikidata.org/entity/Q152864,VivoBook S15,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.7,1118
Acer,https://www.wikidata.org/entity/Q481778,Spin 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,6,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,479
Micro-Star International,https://www.wikidata.org/entity/Q502935,GS63VR 7RG,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  2TB HDD,GTX 1070,https://www.wikidata.org/entity/Q61782186,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.8,2241.5
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15IKBN,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,629
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,1271
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,3,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,451
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.6,4,500GB HDD,Intel HD Graphics 4000,https://www.wikidata.org/entity/Q98617382,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,259
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 440,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,1TB HDD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.63,812
ASUS,https://www.wikidata.org/entity/Q152864,E402WA-GA007T,laptop,https://www.wikidata.org/entity/Q3962,14,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,1.5,4,64GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10 S,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_S_,1.65,277.99
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5770,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,256GB SSD +  2TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,1396
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,928
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.36,638.99
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,449
Acer,https://www.wikidata.org/entity/Q481778,Swift 3,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.6,884
Acer,https://www.wikidata.org/entity/Q481778,Aspire A515-51G-37JS,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.7,4,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,572
