Company,CompanyURI,Model,Type,Type_URI,Screen_Size_Inches,Screen_Resolution_Pixels,CPU,CPU_URI,CPU_Speed_GHz,RAM_Size_GB,Storage,GPU,GPU_URI,Operating_System,Operating_System_URI,Weight_KG,Price_EUR
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-BS078nr,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,8,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.05,598
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 440,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.63,988
Lenovo,https://www.wikidata.org/entity/Q14799,V110-15IAP,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.1,4,1TB HDD,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.9,252.36
ASUS,https://www.wikidata.org/entity/Q152864,FX753VD-GC086T,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,128GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3,938
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15IKBN,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,499
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Envy 13-AD007nv,laptop,https://www.wikidata.org/entity/Q3962,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.32,699
Acer,https://www.wikidata.org/entity/Q481778,Aspire 5,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.7,4,1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3,655
Lenovo,https://www.wikidata.org/entity/Q14799,ThinkPad E480,laptop,https://www.wikidata.org/entity/Q3962,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,AMD Radeon RX 500 series,https://www.wikidata.org/entity/Q29652955,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.75,1116.02
Lenovo,https://www.wikidata.org/entity/Q14799,Legion Y520-15IKBN,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,8,256GB SSD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.4,869
Toshiba,https://www.wikidata.org/entity/Q49125,Satellite Pro,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.3,4,500GB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,602
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,255 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,2.5,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.86,369
ASUS,https://www.wikidata.org/entity/Q152864,ZenBook UX430UA,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.25,1099
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,EliteBook Folio,Ultrabook,https://www.wikidata.org/entity/Q2477770,12.5,3840x2160,Intel Core M,https://www.wikidata.org/entity/Q19509695,1.2,8,512GB SSD,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,0.97,2014
ASUS,https://www.wikidata.org/entity/Q152864,X541NA,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.1,4,1TB HDD,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,344
Micro-Star International,https://www.wikidata.org/entity/Q502935,GE72MVR 7RG,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GTX 1070,https://www.wikidata.org/entity/Q61782186,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.9,2029
Acer,https://www.wikidata.org/entity/Q481778,Aspire A315-51,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,1TB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,447
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,512GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.56,1249.26
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7567,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,8,1.0TB Hybrid,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.62,899
Lenovo,https://www.wikidata.org/entity/Q14799,V110-15IKB,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,128GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.9,498
Micro-Star International,https://www.wikidata.org/entity/Q502935,GE73VR 7RE,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,1890
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,EliteBook 840,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.7,4,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.48,1082
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,15-BS103nv,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,6,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.91,619
Lenovo,https://www.wikidata.org/entity/Q14799,Yoga 520-14IKB,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,14,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,4,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.74,629
ASUS,https://www.wikidata.org/entity/Q152864,ZenBook Flip,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.1,1315
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5579,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.56,1049
Toshiba,https://www.wikidata.org/entity/Q49125,Satellite Pro,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2.2,4,500GB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,447
ASUS,https://www.wikidata.org/entity/Q152864,X555BP-XX180T,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,3,4,1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.03,403
Acer,https://www.wikidata.org/entity/Q481778,Aspire A517-51G,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,4,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3,805
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3576,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.13,728
Lenovo,https://www.wikidata.org/entity/Q14799,Legion Y520-15IKBN,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,1079
Acer,https://www.wikidata.org/entity/Q481778,Aspire A315-31,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Celeron Dual-Core,https://www.wikidata.org/entity/Q1665596,1.1,4,1TB HDD,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,348
Micro-Star International,https://www.wikidata.org/entity/Q502935,GE63VR 7RE,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.4,1799
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Pentium,https://www.wikidata.org/entity/Q214314,1.1,4,1TB HDD,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,363.51
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,8,128GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.56,1060.49
Acer,https://www.wikidata.org/entity/Q481778,Aspire A517-51G,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3,854
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 430,laptop,https://www.wikidata.org/entity/Q3962,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,4,500GB HDD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.49,754
Huawei,https://www.wikidata.org/entity/Q160120,MateBook X,Ultrabook,https://www.wikidata.org/entity/Q2477770,13,2160x1440,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.05,1349
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,17-bs001nv,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,6,2TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.71,699
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-15AST,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,2.9,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.2,309
Toshiba,https://www.wikidata.org/entity/Q49125,Satellite Pro,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,4,500GB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,489
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,923
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2.4,8,1TB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.3,459
Acer,https://www.wikidata.org/entity/Q481778,Aspire A315-51,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,128GB SSD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,449
Micro-Star International,https://www.wikidata.org/entity/Q502935,GT80S 6QF-074US,gaming computer,https://www.wikidata.org/entity/Q185270,18.4,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.9,32,512GB SSD +  1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,4.4,2799
Lenovo,https://www.wikidata.org/entity/Q14799,V310-15IKB,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,128GB SSD +  1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.9,813
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Spectre x360,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,3840x2160,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.29,1499
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5570,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,256GB SSD +  2TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Linux,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Linux_,2.02,1049
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 13,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.23,1399
Lenovo,https://www.wikidata.org/entity/Q14799,Yoga 920-13IKB,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.9,3840x2160,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.4,1849
Toshiba,https://www.wikidata.org/entity/Q49125,Satellite Pro,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,128GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2,793
Xiaomi Corporation,https://www.wikidata.org/entity/Q1636958,Mi Notebook,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.95,1199
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7773,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.77,1549
Dell Inc.,https://www.wikidata.org/entity/Q30873,XPS 15,laptop,https://www.wikidata.org/entity/Q3962,15.6,3840x2160,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,512GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.06,2397
Lenovo,https://www.wikidata.org/entity/Q14799,Legion Y520-15IKBN,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.4,779
Acer,https://www.wikidata.org/entity/Q481778,Swift 7,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.2,8,256GB SSD,Intel HD Graphics 615,https://www.wikidata.org/entity/Q98609804,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.12,989
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5770,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,128GB SSD +  1TB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.8,1085
Lenovo,https://www.wikidata.org/entity/Q14799,Thinkpad Yoga,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,14,2560x1440,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,16,1TB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.42,2824
Xiaomi Corporation,https://www.wikidata.org/entity/Q1636958,Mi Notebook,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.3,999.9
Lenovo,https://www.wikidata.org/entity/Q14799,IdeaPad 320-17IKBR,laptop,https://www.wikidata.org/entity/Q3962,17.3,1600x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,2.8,698
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 5379,2-in-1 PC,https://www.wikidata.org/entity/Q1978753,13.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,1TB HDD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.62,839
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,1TB HDD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,914
Razer Inc.,https://www.wikidata.org/entity/Q367412,Blade Pro,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,3840x2160,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.9,32,1TB SSD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3.49,6099
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,ProBook 430,laptop,https://www.wikidata.org/entity/Q3962,13.3,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,512GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.49,959
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Omen 17-W295,gaming computer,https://www.wikidata.org/entity/Q185270,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD +  1TB HDD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,3.35,1379
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,Probook 470,laptop,https://www.wikidata.org/entity/Q3962,17.3,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,8,256GB SSD,GeForce 900 series,https://www.wikidata.org/entity/Q16927918,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.5,1045
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 7577,gaming computer,https://www.wikidata.org/entity/Q185270,15.6,3840x2160,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,512GB SSD +  1TB HDD,GeForce 10 series,https://www.wikidata.org/entity/Q24033460,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.65,1845
